ISP,L0,L1,L2,L3,FITS  KW,Type,Lower Limit,Upper Limit,FITS Comment,Comment
X,X,,,,,Integer,0,65535,SEQUENCER_REPEAT_CADENCE_TIME,FITS comment is ISP mnemonic
X,X,,,,MSQ_INUM,Integer,0,255,SEQUENCER_SYSTEM,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,SEQUENCER_RESERVED,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,SEQUENCER_FL_STEPS_DT_CI_PZT_SEC_MOVE_CMD_DT,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,SEQUENCER_FL_STEPS_DT_CI_APERTURE_SEL_MOVE_CMD_DT,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,SEQUENCER_FL_STEPS_DT_CIM_CAM_CMD_DT,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,SEQUENCER_FL_STEPS_DT_CI_SHUTTER_CMD_DT,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,SEQUENCER_FL_STEPS_DT_CI_FILTER_WHEEL_MOVE_CMD_DT,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,SEQUENCER_FL_STEPS_DT_CI_FOCUS_MOVE_CMD_DT,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,SEQUENCER_FL_STEPS_DT_SG_PZT_PM_MOVE_CMD_DT,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,SEQUENCER_FL_STEPS_DT_SG_PZT_GR_MOVE_CMD_DT,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,SEQUENCER_FL_STEPS_DT_SGM_CAM_CMD_DT,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,SEQUENCER_FL_STEPS_DT_SG_FILTER_WHEEL_MOVE_CMD_DT,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,SEQUENCER_FL_STEPS_DT_SG_FOCUS_GR_MOVE_CMD_DT,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,SEQUENCER_FL_STEPS_DT_SG_FOCUS_SLIT_MOVE_CMD_DT,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ADJUSTED_PZT_SRT_PZT_OFFSET_VALUES_PZT_OFFSET_A,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ADJUSTED_PZT_SRT_PZT_OFFSET_VALUES_PZT_OFFSET_B,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ADJUSTED_PZT_SRT_PZT_OFFSET_VALUES_PZT_OFFSET_C,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ADJUSTED_PZT_OWT_PZT_OFFSET_VALUES_PZT_OFFSET_A,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ADJUSTED_PZT_OWT_PZT_OFFSET_VALUES_PZT_OFFSET_B,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ADJUSTED_PZT_OWT_PZT_OFFSET_VALUES_PZT_OFFSET_C,FITS comment is ISP mnemonic
X,X,,,,MIFDB_ID,Integer,0,4294967295,IMAGE_CFG_FDB_ID,FITS comment is ISP mnemonic
X,X,,,,MICFGCPD,Integer,0,4294967295,IMAGE_CFG_COMMAND_PERIOD_DURATION,FITS comment is ISP mnemonic
X,X,,,,tbd,Integer,0,4294967295,IMAGE_CFG_FRAME_READOUT_TIME,FITS comment is ISP mnemonic
X,X,,,,MICFGFOF,Integer,0,4294967295,IMAGE_CFG_FLUSH_OFFSET,FITS comment is ISP mnemonic
X,X,,,,MI_LUTID,Integer,0,65535,IMAGE_CFG_LUT_ID,FITS comment is ISP mnemonic
X,X,,,,MICFGRDO,Integer,0,65535,IMAGE_CFG_READOUT_OPTIONS,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,IMAGE_CFG_FRAME_TRANSFER_TIME,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,IMAGE_CFG_RESERVED,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,IMAGE_CFG_COMP_CFG_COMP_WEIGHTS,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,IMAGE_CFG_COMP_CFG_SEG_SIZE,FITS comment is ISP mnemonic
X,X,,,,MCAMCPBW,Integer,0,65535,IMAGE_CFG_COMP_CFG_BS_WORDS,FITS comment is ISP mnemonic
X,X,,,,MCAMCPBP,Integer,0,65535,IMAGE_CFG_COMP_CFG_BP_LENC,FITS comment is ISP mnemonic
X,X,,,,MCAMCPSS,Integer,0,65535,IMAGE_CFG_COMP_CFG_STAGE_STOP,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,IMAGE_CFG_COMP_CFG_RC_WINDOW,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,IMAGE_CFG_COMP_CFG_LUT_FLAG,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,IMAGE_CFG_COMP_CFG_COMPRESSION_ENABLE,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,IMAGE_CFG_CROP_CFG_START_ROW,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,IMAGE_CFG_CROP_CFG_END_ROW,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,IMAGE_CFG_CROP_CFG_START_COLUMN,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,IMAGE_CFG_CROP_CFG_END_COLUMN,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,IMAGE_CFG_CROP_CFG_SUBFRAME1,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,IMAGE_CFG_CROP_CFG_SUBFRAME2,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,IMAGE_CFG_CROP_CFG_SUBFRAME3,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,IMAGE_CFG_CROP_CFG_OSCAN_ROW,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,IMAGE_CFG_CROP_CFG_OSCAN_COLS,FITS comment is ISP mnemonic
X,X,,,,MGTPOFFX,Integer,-32768,32767,GT_BIAS_OFFSET_X,FITS comment is ISP mnemonic
X,X,,,,MGTPOFFY,Integer,-32768,32767,GT_BIAS_OFFSET_Y,FITS comment is ISP mnemonic
X,X,,,,MGTPSVX,Integer,-32768,32767,GT_SUN_VECTOR_X,FITS comment is ISP mnemonic
X,X,,,,MGTPSVY,Integer,-32768,32767,GT_SUN_VECTOR_Y,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,THERMAL_CEB_DIGITAL_BOARD_TEMP,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,THERMAL_CEB_POWER_BOARD_TEMP,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,THERMAL_CEB_PRE_AMP_TEMP,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,THERMAL_CEB_CCD1_TEMP,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,THERMAL_CEB_CCD2_TEMP,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,THERMAL_CEB_CCD3_TEMP,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,THERMAL_CEB_ANALOG_BOARD_TEMP,FITS comment is ISP mnemonic
X,X,,,,MTCGTIEB,Integer,0,65535,THERMAL_IEB_TEMP,FITS comment is ISP mnemonic
X,X,,,,MTCGTOBJ,Integer,0,65535,THERMAL_GT_AFT_TEMP,FITS comment is ISP mnemonic
X,X,,,,MCTCI_PM,Integer,0,65535,THERMAL_CI_PRIMARY_MIRROR_TEMP,FITS comment is ISP mnemonic
X,X,,,,MCTCI_SM,Integer,0,65535,THERMAL_CI_SECONDARY_MIRROR_TEMP,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_SHUTTER_OPEN_TIME_SEC,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_SHUTTER_OPEN_TIME_SUBSEC,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_SHUTTER_AMAX,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_SHUTTER_EXP_DUR,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_SHUTTER_POS_PRE,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_SHUTTER_CMD_EXP,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_SHUTTER_TSCALE,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_SHUTTER_POS_POST,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,MECH_SHUTTER_ERR_PRE,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,MECH_SHUTTER_EXP_TYPE,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,MECH_SHUTTER_ERR_POST,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,MECH_SHUTTER_RESERVED,FITS comment is ISP mnemonic
X,X,,,,MMFWSGST,Integer,0,4294967295,MECH_SGFILTER_WHEEL_MOVE_TIME_SEC,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_SGFILTER_WHEEL_MOVE_TIME_SUBSEC,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_SGFILTER_WHEEL_AMAX,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_SGFILTER_WHEEL_VMAX,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_SGFILTER_WHEEL_POS_PRE,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_SGFILTER_WHEEL_TARGET_POS,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_SGFILTER_WHEEL_TSCALE,FITS comment is ISP mnemonic
X,X,,,,,Integer,-32768,32767,MECH_SGFILTER_WHEEL_XF,FITS comment is ISP mnemonic
X,X,,,,MMFWSGPS,Integer,0,65535,MECH_SGFILTER_WHEEL_POS_POST,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,MECH_SGFILTER_WHEEL_ERR_PRE,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,MECH_SGFILTER_WHEEL_ERR_POST,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_CIFILTER_WHEEL_MOVE_TIME_SEC,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_CIFILTER_WHEEL_MOVE_TIME_SUBSEC,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_CIFILTER_WHEEL_AMAX,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_CIFILTER_WHEEL_VMAX,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_CIFILTER_WHEEL_POS_PRE,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_CIFILTER_WHEEL_TARGET_POS,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_CIFILTER_WHEEL_TSCALE,FITS comment is ISP mnemonic
X,X,,,,,Integer,-32768,32767,MECH_CIFILTER_WHEEL_XF,FITS comment is ISP mnemonic
X,X,,,,MMFWCIPS,Integer,0,65535,MECH_CIFILTER_WHEEL_POS_POST,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,MECH_CIFILTER_WHEEL_ERR_PRE,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,MECH_CIFILTER_WHEEL_ERR_POST,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_SG_SLIT_FOCUS_MOVE_TIME_SEC,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_SG_SLIT_FOCUS_MOVE_TIME_SUBSEC,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_SG_SLIT_FOCUS_POS_PRE,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_SG_SLIT_FOCUS_POS_POST,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,MECH_SG_SLIT_FOCUS_ERR_PRE,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,MECH_SG_SLIT_FOCUS_ERR_POST,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_SG_SLIT_FOCUS_RESERVED,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_SG_GRATING_FOCUS_MOVE_TIME_SEC,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_SG_GRATING_FOCUS_MOVE_TIME_SUBSEC,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_SG_GRATING_FOCUS_POS_PRE,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_SG_GRATING_FOCUS_POS_POST,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,MECH_SG_GRATING_FOCUS_ERR_PRE,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,MECH_SG_GRATING_FOCUS_ERR_POST,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_SG_GRATING_FOCUS_RESERVED,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_CI_FOCUS_MOVE_TIME_SEC,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_CI_FOCUS_MOVE_TIME_SUBSEC,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_CI_FOCUS_POS_PRE,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_CI_FOCUS_POS_POST,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,MECH_CI_FOCUS_ERR_PRE,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,MECH_CI_FOCUS_ERR_POST,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_CI_FOCUS_RESERVED,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_CI_APERTURE_SELECTOR_MOVE_TIME_SEC,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_CI_APERTURE_SELECTOR_MOVE_TIME_SUBSEC,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_CI_APERTURE_SELECTOR_AMAX,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_CI_APERTURE_SELECTOR_VMAX,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_CI_APERTURE_SELECTOR_POS_PRE,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_CI_APERTURE_SELECTOR_TARGET_POS,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_CI_APERTURE_SELECTOR_TSCALE,FITS comment is ISP mnemonic
X,X,,,,,Integer,-32768,32767,MECH_CI_APERTURE_SELECTOR_XF,FITS comment is ISP mnemonic
X,X,,,,MMAS_POS,Integer,0,65535,MECH_CI_APERTURE_SELECTOR_POS_POST,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,MECH_CI_APERTURE_SELECTOR_ERR_PRE,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,MECH_CI_APERTURE_SELECTOR_ERR_POST,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_WEDGE_MOTOR1_MOVE_TIME_SEC,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_WEDGE_MOTOR1_MOVE_TIME_SUBSEC,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,MECH_WEDGE_MOTOR1_AMP,FITS comment is ISP mnemonic
X,X,,,,MMWM1POS,Integer,0,65535,MECH_WEDGE_MOTOR1_POS,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_WEDGE_MOTOR1_MOVE_DUR,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,MECH_WEDGE_MOTOR1_TARGET_POS,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,MECH_WEDGE_MOTOR1_DONE,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,255,MECH_WEDGE_MOTOR1_RESERVED,FITS comment is ISP mnemonic
